person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,dti_ratio,income_per_emp_year,rate_tier,risk_score,risk_tier
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.326,13143.0,High (12-16%),47,Medium Risk
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.309,12125.0,Medium (8-12%),20,Low Risk
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.25,12000.0,Low (<8%),8,Low Risk
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.036,56000.0,High (12-16%),37,Medium Risk
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.072,277104.0,Medium (8-12%),15,Low Risk
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4,0.126,69250.0,Low (<8%),5,Low Risk
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.234,12800.0,Low (<8%),8,Low Risk
24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,Y,3,0.146,4000.0,Very High (>16%),53,Medium Risk
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.229,131000.0,Low (<8%),18,Low Risk
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.044,39286.0,Medium (8-12%),5,Low Risk
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.038,263000.0,Medium (8-12%),15,Low Risk
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.113,22185.0,High (12-16%),20,Low Risk
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.416,10000.0,High (12-16%),35,Medium Risk
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.125,1500.0,High (12-16%),40,Medium Risk
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.108,23636.0,Medium (8-12%),5,Low Risk
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.077,25900.0,High (12-16%),40,Medium Risk
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.038,25500.0,Low (<8%),0,
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1,83333.0,High (12-16%),17,Low Risk
25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,0.25,12000.0,High (12-16%),30,Low Risk
22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,N,2,0.492,8136.0,Low (<8%),15,Low Risk
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.25,1714.0,High (12-16%),40,Medium Risk
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.431,21667.0,Low (<8%),20,Low Risk
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.329,28333.0,Low (<8%),20,Low Risk
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.508,4000.0,Low (<8%),30,Low Risk
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.318,12571.0,Medium (8-12%),20,Low Risk
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.35,12000.0,High (12-16%),57,High Risk
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.396,1714.0,Low (<8%),15,Low Risk
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.337,83004.0,High (12-16%),65,High Risk
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.072,83333.0,High (12-16%),37,Medium Risk
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.28,16667.0,High (12-16%),13,Low Risk
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.255,10000.0,Medium (8-12%),8,Low Risk
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,N,4,0.225,12000.0,Low (<8%),18,Low Risk
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.259,15429.0,Medium (8-12%),13,Low Risk
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.185,18900.0,Medium (8-12%),5,Low Risk
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,0.4,23000.0,Low (<8%),20,Low Risk
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.271,2000.0,High (12-16%),56,High Risk
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.393,14000.0,High (12-16%),52,Medium Risk
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.104,34286.0,Medium (8-12%),5,Low Risk
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.37,12200.0,High (12-16%),55,Medium Risk
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.325,13833.0,High (12-16%),47,Medium Risk
24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.37,N,3,0.368,73399.0,High (12-16%),45,Medium Risk
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.416,7812.0,Medium (8-12%),20,Low Risk
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.213,60000.0,High (12-16%),23,Low Risk
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.129,4120.0,High (12-16%),17,Low Risk
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.425,60000.0,Medium (8-12%),30,Low Risk
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.085,58500.0,High (12-16%),37,Medium Risk
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.085,26000.0,Medium (8-12%),5,Low Risk
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.092,21273.0,High (12-16%),5,Low Risk
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.054,31572.0,High (12-16%),40,Medium Risk
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.108,232500.0,High (12-16%),42,Medium Risk
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.152,38333.0,High (12-16%),12,Low Risk
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.305,10375.0,Medium (8-12%),20,Low Risk
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,0.159,2520.0,Low (<8%),5,Low Risk
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.139,3150.0,High (12-16%),17,Low Risk
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.588,10625.0,High (12-16%),62,High Risk
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.61,N,3,0.61,13667.0,High (12-16%),50,Medium Risk
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.234,12816.0,High (12-16%),50,Medium Risk
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.282,6480.0,Medium (8-12%),23,Low Risk
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.088,45200.0,Medium (8-12%),10,Low Risk
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.133,225000.0,Very High (>16%),58,High Risk
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.164,30429.0,Medium (8-12%),5,Low Risk
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.027,225000.0,Medium (8-12%),15,Low Risk
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.347,12960.0,Medium (8-12%),30,Low Risk
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.185,12996.0,High (12-16%),42,Medium Risk
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.595,6000.0,High (12-16%),65,High Risk
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.521,16000.0,Medium (8-12%),35,Medium Risk
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.277,6498.0,High (12-16%),38,Medium Risk
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.365,6498.0,Medium (8-12%),30,Low Risk
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.59,21180.0,Very High (>16%),83,High Risk
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.51,9800.0,Medium (8-12%),35,Medium Risk
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.111,225000.0,Very High (>16%),42,Medium Risk
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.013,112500.0,Medium (8-12%),10,Low Risk
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.033,25000.0,Medium (8-12%),0,
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.111,75000.0,Medium (8-12%),10,Low Risk
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.505,8244.0,Medium (8-12%),30,Low Risk
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.5,25000.0,Low (<8%),25,Low Risk
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.5,10000.0,Low (<8%),20,Low Risk
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.568,14667.0,High (12-16%),50,Medium Risk
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.5,25000.0,Medium (8-12%),30,Low Risk
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.5,50004.0,Medium (8-12%),30,Low Risk
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.5,12501.0,High (12-16%),32,Medium Risk
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.481,17333.0,Medium (8-12%),25,Low Risk
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.375,3300.0,Low (<8%),20,Low Risk
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.114,110000.0,Medium (8-12%),15,Low Risk
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.097,36000.0,Medium (8-12%),0,
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.116,72000.0,Very High (>16%),25,Low Risk
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.093,19636.0,High (12-16%),32,Medium Risk
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.163,26875.0,High (12-16%),32,Medium Risk
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.056,17917.0,Low (<8%),0,
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.481,26000.0,High (12-16%),37,Medium Risk
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.543,15333.0,Medium (8-12%),50,Medium Risk
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.472,8833.0,High (12-16%),47,Medium Risk
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.532,47000.0,High (12-16%),75,High Risk
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.532,23500.0,Very High (>16%),63,High Risk
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.106,4400.0,Medium (8-12%),10,Low Risk
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.341,13200.0,High (12-16%),37,Medium Risk
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.076,30000.0,Medium (8-12%),5,Low Risk
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.105,19091.0,Medium (8-12%),5,Low Risk
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.521,8000.0,Very High (>16%),57,High Risk
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.455,7857.0,Medium (8-12%),20,Low Risk
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.45,Y,4,0.455,11000.0,High (12-16%),60,High Risk
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.455,11000.0,Medium (8-12%),25,Low Risk
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.455,11000.0,High (12-16%),60,High Risk
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.453,6129.0,High (12-16%),47,Medium Risk
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.446,11200.0,High (12-16%),32,Medium Risk
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.098,22611.0,High (12-16%),12,Low Risk
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.116,31667.0,Very High (>16%),52,Medium Risk
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.557,4640.0,Very High (>16%),58,High Risk
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.417,60000.0,Medium (8-12%),30,Low Risk
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.417,20000.0,Medium (8-12%),25,Low Risk
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.463,6750.0,High (12-16%),55,Medium Risk
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,1,0.29,N,3,0.286,4667.0,High (12-16%),33,Medium Risk
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.06,22222.0,High (12-16%),5,Low Risk
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.06,22222.0,High (12-16%),12,Low Risk
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.08,33333.0,High (12-16%),12,Low Risk
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.463,13500.0,Very High (>16%),48,Medium Risk
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.417,15000.0,High (12-16%),32,Medium Risk
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.417,7500.0,Medium (8-12%),20,Low Risk
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.417,8571.0,Medium (8-12%),20,Low Risk
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.403,6196.0,High (12-16%),27,Low Risk
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.443,18800.0,High (12-16%),60,High Risk
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,7.49,0,0.14,N,2,0.14,25000.0,Low (<8%),0,
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.125,66667.0,High (12-16%),17,Low Risk
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.12,50000.0,Low (<8%),5,Low Risk
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.075,40000.0,High (12-16%),17,Low Risk
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.078,66667.0,Medium (8-12%),10,Low Risk
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.05,22222.0,Medium (8-12%),0,
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.379,16500.0,Medium (8-12%),25,Low Risk
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.379,9429.0,High (12-16%),47,Medium Risk
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.045,28571.0,Low (<8%),0,
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.09,33333.0,Very High (>16%),20,Low Risk
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.06,66667.0,Medium (8-12%),10,Low Risk
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.115,20000.0,High (12-16%),12,Low Risk
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.1,22222.0,Medium (8-12%),5,Low Risk
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,16.82,1,0.42,Y,2,0.417,20000.0,Very High (>16%),68,High Risk
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.208,14400.0,Medium (8-12%),23,Low Risk
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.373,6091.0,High (12-16%),55,Medium Risk
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.373,16750.0,Low (<8%),20,Low Risk
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.373,22333.0,Medium (8-12%),25,Low Risk
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.368,11333.0,High (12-16%),55,Medium Risk
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.362,6900.0,Very High (>16%),35,Medium Risk
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.06,200000.0,Medium (8-12%),15,Low Risk
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.106,17091.0,Very High (>16%),28,Low Risk
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.015,40000.0,High (12-16%),17,Low Risk
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.357,7000.0,High (12-16%),35,Medium Risk
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.278,4800.0,Medium (8-12%),18,Low Risk
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.357,17500.0,Medium (8-12%),25,Low Risk
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.417,2400.0,Low (<8%),15,Low Risk
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.446,7012.0,Very High (>16%),35,Medium Risk
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.379,6600.0,High (12-16%),55,Medium Risk
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.379,16500.0,Medium (8-12%),25,Low Risk
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.373,1800.0,Low (<8%),15,Low Risk
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.344,7261.0,High (12-16%),27,Low Risk
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.338,18500.0,Medium (8-12%),25,Low Risk
